Freq(Hz),Gain(dB),Phase
100000.00,-0.18,0.56
102329.30,-0.16,0.55
104712.85,-0.18,0.53
107151.93,-0.19,0.57
109647.82,-0.20,0.63
112201.85,-0.21,0.69
114815.36,-0.22,0.74
117489.76,-0.23,0.76
120226.44,-0.23,0.76
123026.88,-0.24,0.76
125892.54,-0.25,0.75
128824.95,-0.26,0.79
131825.67,-0.28,0.85
134896.29,-0.30,0.90
138038.43,-0.31,0.94
141253.75,-0.32,0.92
144543.98,-0.32,0.93
147910.84,-0.34,0.97
151356.12,-0.37,1.04
154881.66,-0.40,1.07
158489.32,-0.42,1.07
162181.01,-0.43,1.08
165958.69,-0.45,1.10
169824.36,-0.46,1.12
173780.08,-0.50,1.17
177827.94,-0.54,1.23
181970.08,-0.56,1.22
186208.71,-0.58,1.20
190546.07,-0.61,1.27
194984.46,-0.66,1.29
199526.23,-0.69,1.30
204173.79,-0.71,1.32
208929.61,-0.74,1.34
213796.21,-0.79,1.46
218776.16,-0.83,1.54
223872.11,-0.87,1.57
229086.76,-0.93,1.66
234422.88,-0.97,1.77
239883.29,-0.99,1.78
245470.89,-1.02,1.77
251188.64,-1.06,1.83
257039.57,-1.13,2.13
263026.79,-1.20,2.38
269153.47,-1.25,2.32
275422.86,-1.32,2.42
281838.29,-1.37,2.62
288403.14,-1.42,2.63
295120.92,-1.48,2.67
301995.16,-1.57,2.79
309029.54,-1.66,2.93
316227.76,-1.75,3.08
323593.65,-1.80,3.10
331131.11,-1.86,3.21
338844.15,-2.00,3.42
346736.84,-2.12,3.57
354813.38,-2.19,3.70
363078.04,-2.31,3.83
371535.22,-2.41,3.90
380189.38,-2.53,4.08
389045.13,-2.70,4.26
398107.16,-2.86,4.53
407380.27,-2.98,4.79
416869.37,-3.14,5.04
426579.50,-3.31,5.30
436515.82,-3.49,5.57
446683.58,-3.65,5.87
457088.17,-3.87,6.24
467735.13,-4.08,6.56
478630.08,-4.32,6.88
489778.80,-4.54,7.30
501187.22,-4.80,7.67
512861.37,-5.26,8.15
524807.44,-5.60,8.87
537031.78,-5.89,10.06
549540.85,-6.21,10.83
562341.30,-6.62,11.13
575439.91,-7.02,12.01
588843.63,-7.20,13.05
602559.56,-7.68,14.32
616594.98,-8.11,15.21
630957.32,-8.65,17.19
645654.20,-9.24,19.11
660693.42,-9.96,20.83
676082.95,-11.07,24.45
691830.94,-11.88,28.82
707945.75,-12.81,33.25
724435.93,-13.82,38.76
741310.21,-14.27,42.67
758577.54,-15.11,51.61
776247.08,-16.22,66.22
794328.20,-16.53,79.41
812830.48,-16.71,86.98
831763.73,-16.14,100.60
851138.00,-15.52,113.76
870963.55,-14.54,123.09
891250.89,-13.35,132.59
912010.79,-12.08,138.98
933254.25,-10.92,144.57
954992.54,-9.84,148.08
977237.17,-8.87,152.59
1000000.00,-7.97,155.14
1023292.99,-6.66,158.94
1047128.55,-5.89,161.25
1071519.30,-5.39,161.84
1096478.19,-4.68,163.17
1122018.45,-4.07,164.89
1148153.62,-3.45,166.25
1174897.55,-2.83,167.28
1202264.43,-2.29,168.14
1230268.77,-1.77,169.35
1258925.41,-1.29,170.40
1288249.54,-0.57,171.93
1318256.73,-0.21,173.04
1348962.87,0.14,173.68
1380384.25,0.41,174.36
1412537.53,0.60,174.99
1445439.76,0.88,175.98
1479108.38,1.14,176.98
1513561.23,1.37,177.99
1548816.60,1.56,178.86
